SUBJECT,PREDICATE,OBJECT,,
:A36,:performedAt,"""1647033445""^^xsd:integer",,"#""2022-03-11T15:17:25Z""^^xsd:dateTime ;"
:A36,:measuresQuantity,:Current,,
:A36,:performedBy,:ID08,,
#ID08 reports 3 mA,,,,
:A37,a,:ReportingData,,
:A37,:activityWithin,:Lab1,,
:A37,:occurredAt,:LabStation4,,
:A37,:updatesField,:ReportField2,,
:A37,:reportsFieldValue,"""3""^^xsd:double",,
:A37,:performedAt,"""1647033446""^^xsd:integer",,"#""2022-03-11T15:17:26Z""^^xsd:dateTime ;"
:A37,:performedBy,:ID08,,
###Scenario a3 NOK - have measurement within maxtwin but pdiff too large,,,,
#ID07 measures 3.6 mA; pdiff=8.7; twin=1,,,,
:A38,a,:MeasuringCircuitQuantity,,
:A38,:activityWithin,:Lab1,,
:A38,:occurredAt,:LabStation4,,
:A38,:getsMeasuredValue,"""3.6""^^xsd:double",,
:A38,:performedAt,"""1647033449""^^xsd:integer",,"#""2022-03-11T15:17:29Z""^^xsd:dateTime ;"
:A38,:measuresQuantity,:Current,,
:A38,:performedBy,:ID07,,
#ID07 reports 3.3 mA,,,,
:A39,a,:ReportingData,,
:A39,:activityWithin,:Lab1,,
:A39,:occurredAt,:LabStation4,,
:A39,:updatesField,:ReportField3,,
:A39,:reportsFieldValue,"""3.3""^^xsd:double",,
:A39,:performedAt,"""1647033450""^^xsd:integer",,"#""2022-03-11T15:17:30Z""^^xsd:dateTime ;"
:A39,:performedBy,:ID07,,
"###Scenario a4 OK - have multiple measurements, the one with min pdiff is valid and within maxtwin ",,,,
#ID08 measures 2.6 mA; 44.8 pdiff from eventual reported value or 4.1; 45 tdiff,,,,
:A248 ,a,:MeasuringCircuitQuantity,,
:A248 ,:activityWithin,:Lab1,,
:A248 ,:occurredAt,:LabStation4,,
:A248 ,:getsMeasuredValue ,"""2.6""^^xsd:double",,
:A248 ,:performedAt,"""1647033455""^^xsd:integer",,"#""2022-03-11T15:17:35Z""^^xsd:dateTime ;"
:A248 ,:measuresQuantity, :Current,,
:A248 ,:performedBy,:ID08,,
#ID08 measures 4 mA; 2.5 pdiff; 15 tdiff,,,,
:A251 ,a,:MeasuringCircuitQuantity,,
:A251 ,:activityWithin,:Lab1,,
:A251 ,:occurredAt,:LabStation4,,
:A251 ,:getsMeasuredValue ,"""4""^^xsd:double",,
:A251 ,:performedAt,"""1647033485""^^xsd:integer",,"#""2022-03-11T15:18:05Z""^^xsd:dateTime ;"
:A251 ,:measuresQuantity,:Current,,
:A251 ,:performedBy,:ID08,,
#ID07 measures 4.3 mA; 4.8 pdiff; 2 tdiff,,,,
:A252 ,a,:MeasuringCircuitQuantity,,
:A252 ,:activityWithin,:Lab1,,
:A252 ,:occurredAt,:LabStation4,,
:A252 ,:getsMeasuredValue ,"""4.3""^^xsd:double",,
:A252 ,:performedAt,"""1647033498""^^xsd:integer",,"#""2022-03-11T15:18:18Z""^^xsd:dateTime ;"
:A252 ,:measuresQuantity, :Current,,
:A252 ,:performedBy,:ID07,,
#ID08 reports 4.1 mA; scenario a4 OK since a251 is within pdiff,,,,
:A253,a,:ReportingData,,
:A253,:activityWithin,:Lab1,,
:A253,:occurredAt,:LabStation4,,
:A253,:updatesField,:ReportField1,,
:A253,:reportsFieldValue,"""4.1""^^xsd:double",,
:A253,:performedAt,"""1647033500""^^xsd:integer",,"#""2022-03-11T15:18:20Z""^^xsd:dateTime ;"
:A253,:performedBy, :ID08,,
#Scenario a5 NOK; no valid measurements (pdiff too large) even outside twin,,,,
#ID08 measures 3.1 mA; 127% pdiff from eventual reported value; 154 tdiff,,,,
:A270 ,a,:MeasuringCircuitQuantity,,
:A270 ,:activityWithin,:Lab1,,
:A270 ,:occurredAt,:LabStation4,,
:A270 ,:getsMeasuredValue ,"""3.1""^^xsd:double",,
:A270 ,:performedAt,"""1647033546""^^xsd:integer",,"#""2022-03-11T15:19:06Z""^^xsd:dateTime ;"
:A270 ,:measuresQuantity,:Current,,
:A270 ,:performedBy,:ID08,,
#ID07 measures 13.6 mA; 2.9% pdiff from eventual reported value; 140 tdiff,,,,
:A260,a,:MeasuringCircuitQuantity,,
:A260,:activityWithin,:Lab1,,
:A260,:occurredAt,:LabStation4,,
:A260,:getsMeasuredValue,"""13.6""^^xsd:double",,
:A260,:performedAt,"""1647033560""^^xsd:integer",,"#""2022-03-11T15:19:20Z""^^xsd:dateTime ;"
:A260,:measuresQuantity, :Current,,
:A260,:performedBy,:ID07,,
#ID08 measures 7.9 mA; 55.7% pdiff from eventual reported value; 25 tdiff,,,,
:A257,a,:MeasuringCircuitQuantity,,
:A257,:activityWithin,:Lab1,,
:A257,:occurredAt,:LabStation4,,
:A257,:getsMeasuredValue,"""7.9""^^xsd:double",,
:A257,:performedAt,"""1647033675""^^xsd:integer",,"#""2022-03-11T15:21:15Z""^^xsd:dateTime ;"
:A257,:measuresQuantity, :Current,,
:A257,:performedBy,:ID08,,
#ID07 reports 14 mA data; scenario a5 NOT ok since no valid (within pdiff) value within twin,,,,
:A258 ,a,:ReportingData,,
:A258 ,:activityWithin,:Lab1,,
:A258 ,:occurredAt,:LabStation4,,
:A258 ,:updatesField,:ReportField2,,
:A258 ,:reportsFieldValue," ""14""^^xsd:double",,
:A258 ,:performedAt,"""1647033700""^^xsd:integer",,"#""2022-03-11T15:21:40Z""^^xsd:dateTime ;"
:A258 ,:performedBy,:ID07,,
#Scenario a6 NOK; valid value but different circuit quantity,,,,
#ID08 measures 8.7 mA; 2.3% pdiff from eventual reported value; 76 tdiff,,,,
:A259,a,:MeasuringCircuitQuantity,,
:A259,:activityWithin,:Lab1,,
:A259,:occurredAt,:LabStation4,,
:A259,:getsMeasuredValue,"""8.7""^^xsd:double",,
:A259,:performedAt,"""1647033724""^^xsd:integer",,"#""2022-03-11T15:22:04Z""^^xsd:dateTime ;"
:A259,:measuresQuantity, :Current,,
:A259,:performedBy,:ID08,,
#ID07 reports 8.5 V; NOT ok; within pdiff and twin but different quantity type,,,,
:A255,a,:ReportingData,,
:A255,:activityWithin,:Lab1,,
:A255,:occurredAt,:LabStation4,,
:A255,:updatesField ,:ReportField4,,
:A255,:reportsFieldValue ,"""8.5""^^xsd:double",,
:A255,:performedAt,"""1647033800""^^xsd:integer",,"#""2022-03-11T15:23:20Z""^^xsd:dateTime ;"
:A255,:performedBy,:ID08,,
#Expected results for scenarios above,,,,
"#ID07 reported 3 times (A35, A39, A258), all not valid (0%)",,,,
"#ID08 reported 3 times (A37, A253, A255), 66.6% valid (A255 not valid)",,,,
### SCENARIOS FOR TESTING PI E: TURN OFF POWER SUPPLY BEFORE MAKING CIRCUIT CHANGES (SAFETY) ###,,,,
###Group 5: ID09 and ID10; assigned to LabStation5,,,,
###Cases to test: e1. OK group turned off circuit power before making changes; e2: NOK two MakingCircuitChanges activities in a row; e3: NOK turn ON activity followed by MakingCircuitChanges,,,,
#Scenario e1 OK: turn off before making circuit changes,,,,
#ID10 turns on circuit power,,,,
:A01 ,a,:TurningOnCircuitPower,,
:A01 ,:activityWithin,:Lab1,,
:A01 ,:occurredAt,:LabStation5,,
:A01 ,:performedAt,"""1647032734""^^xsd:integer",,"#""2022-03-11T15:05:34Z""^^xsd:dateTimeStamp ;"
:A01 ,:performedBy ,:ID10,,
#ID09 turns off circuit power,,,,
:A02 ,a,:TurningOffCircuitPower,,
:A02 ,:activityWithin ,:Lab1,,
:A02 ,:occurredAt ,:LabStation5,,
:A02 ,:performedAt ,"""1647032901""^^xsd:integer",,"#""2022-03-11T15:08:21Z""^^xsd:dateTimeStamp ;"
:A02 ,:performedBy,:ID09,,
#ID09 makes circuit changes,,,,
:A03,a,:MakingCircuitChanges,,
:A03,:activityWithin ,:Lab1,,
:A03,:occurredAt ,:LabStation5,,
:A03,:performedAt ,"""1647032982""^^xsd:integer",,"#""2022-03-11T15:09:42Z""^^xsd:dateTimeStamp ;"
:A03,:performedBy ,:ID09,,
#Scenario e1 OK: turn off before making circuit changes,,,,
:A04 ,a,:TurningOnCircuitPower,,
:A04 ,:activityWithin,:Lab1,,
:A04 ,:occurredAt,:LabStation5,,
:A04 ,:performedAt,"""1647033236""^^xsd:integer",,"#""2022-03-11T15:13:56Z""^^xsd:dateTimeStamp ;"
:A04 ,:performedBy ,:ID09,,
#ID10 turns off circuit power,,,,
:A05 ,a,:TurningOffCircuitPower,,
:A05 ,:activityWithin,:Lab1,,
:A05 ,:occurredAt,:LabStation5,,
:A05 ,:performedAt,"""1647033525""^^xsd:integer",,"#""2022-03-11T15:18:45Z""^^xsd:dateTimeStamp ;"
:A05 ,:performedBy ,:ID10,,
#ID10 makes circuit changes,,,,
:A06 ,a,:MakingCircuitChanges ,,
:A06 ,:activityWithin, :Lab1,,
:A06 ,:occurredAt,:LabStation5,,
:A06 ,:performedAt,"""1647033542""^^xsd:integer",,"#""2022-03-11T15:19:02Z""^^xsd:dateTimeStamp ;"
:A06 ,:performedBy,:ID10,,
#Scenario e2 NOK: Two MakingCircuitChanges in a row,,,,
#ID10 makes circuit changes,,,,
:A101,a,:MakingCircuitChanges ,,
:A101,:occurredAt,:LabStation5,,
:A101,:activityWithin,:Lab1,,
:A101,:performedAt ,"""1647033780""^^xsd:integer",,"#""2022-03-11T15:23:00Z""^^xsd:dateTimeStamp ;"
:A101,:performedBy ,:ID10,,
#Scenario e2 NOK: third MakingCircuitChange in a row,,,,
#ID10 makes circuit changes,,,,
:A102,a,:MakingCircuitChanges,,
:A102,:occurredAt,:LabStation5,,
:A102,:activityWithin,:Lab1,,
:A102,:performedAt,"""1647033800""^^xsd:integer",,"#""2022-03-11T15:23:20Z""^^xsd:dateTimeStamp ;"
:A102,:performedBy,:ID10,,
#Scenario e3 NOK: turn on then maker circuit changes,,,,
#ID09 turns off circuit power,,,,
:A103,a,:TurningOffCircuitPower,,
:A103,:occurredAt,:LabStation5,,
:A103,:activityWithin,:Lab1,,
:A103,:performedAt,"""1647035820""^^xsd:integer",,"#""2022-03-11T15:57:00Z""^^xsd:dateTimeStamp ;"
:A103,:performedBy,:ID09,,
#ID09 turns on circuit power,,,,
:A104,a,:TurningOnCircuitPower,,
:A104,:occurredAt,:LabStation5,,
:A104,:activityWithin,:Lab1,,
:A104,:performedAt,"""1647035850""^^xsd:integer",,"#""2022-03-11T15:57:30Z""^^xsd:dateTimeStamp ;"
:A104,:performedBy,:ID09,,
#ID10 makes circuit changes,,,,
:A105,a,:MakingCircuitChanges,,
:A105,:occurredAt,:LabStation5,,
:A105,:activityWithin,:Lab1,,
:A105,:performedAt,"""1647035900""^^xsd:integer",,"#""2022-03-11T15:58:20Z""^^xsd:dateTimeStamp ;"
:A105,:performedBy,:ID10,,
#Expected results for scenarios above,,,,
"#ID09 made circuit changes 1x, all OK",,,,
"#ID10 made circuit changes 4x, 25% OK",,,,
### SCENARIOS FOR TESTING PI B: TURN OFF POWER SUPPLY AT END (ETHICS) ###,,,,
###Group 5: ID09 and ID10; assigned to LabStation5; ID13 instructor,,,,
###Cases to test: b1. NOK did not turn off circuit at end,,,,
#Scenario b1 NOK: ID09 & ID10 circuit changer activity is A105 (MakingCircuitChanges),,,,
:A200,a,:InstructorPrompting,,
:A200,:occurredAt,:Podium,,
:A200,:activityWithin,:Lab1,,
:A200,:generatesPrompt,:TurnOffCircuit,,
:A200,:performedBy,:ID13,,
:A200,:performedAt,"""1647038880""^^xsd:integer",,"#""2022-03-11T16:48:00Z""^^xsd:dateTimeStamp ."
#ID09 turns off circuit power,,,,
#Scenario b2 OK: ID07 & ID08 turned off circuit power before prompt,,,,
:A202,a,:TurningOffCircuitPower,,
:A202,:occurredAt,:LabStation4,,
:A202,:activityWithin,:Lab1,,
:A202,:performedAt,"""1647038780""^^xsd:integer",,"#""2022-03-11T16:46:20Z""^^xsd:dateTimeStamp ."
:A202,:performedBy,:ID07,,
#ID09 turns off circuit power,,,,
#Scenario b3 OK: ID05 & ID06 turned off circuit power after prompt,,,,
:A203,a,:TurningOffCircuitPower,,
:A203,:occurredAt,:LabStation3,,
:A203,:activityWithin,:Lab1,,
:A203,:performedAt,"""1647038900""^^xsd:integer",,"#""2022-03-11T16:48:20Z""^^xsd:dateTimeStamp ."
:A203,:performedBy,:ID06,,
#Expected results for scenarios above,,,,
#ID09 & ID10 fails; did not turn off circuit at the end,,,,
#ID07 & ID08 passes;turned off circuit power before prompt,,,,
#ID05 & ID06 fails;turned off circuit power but after prompt,,,,
### SCENARIOS FOR TESTING PI F: USE ANTISTATIC BAND AND MAT (SAFETY) ###,,,,
###Group 5: ID09 and ID10; assigned to LabStation5; ID13 instructor,,,,
###Cases to test: ,,,,
"#Scenario f1 ""Exceeds expectations"" for ID03: Uses both mat and wrist band before prompt",,,,
#ID03 wears AntistaticBand3 interval from 3:03:01PM - 3:49:05PM,,,,
:A20,a,:UsingCarriedItem,,
:A20,:occurredAt,:LabStation2,,
:A20,:activityWithin,:Lab1,,
:A20,:carriesItem,:AntistaticBand,,
:A20,:performedDuring,:TI_20,,
:A20,:performedBy,:ID03,,
:TI_20,a,:TimeInterval,,
:TI_20,:hasStartTime,"""1647032581""^^xsd:integer",,"#""2022-03-11T15:03:01Z""^^xsd:dateTimeStamp ;"
:TI_20,:hasStopTime,"""1647035345""^^xsd:integer",,"#""2022-03-11T15:49:05Z""^^xsd:dateTimeStamp ."
#ID03&ID04 (Group2) uses AntistaticMat2 interval from 3:04:31PM - 4:47:30PM,,,,
:A25,a,:UsingStaticItem,,
:A25,:occurredAt,:LabStation2,,
:A25,:activityWithin,:Lab1,,
:A25,:usesItemInPlace,:AntistaticMat,,
:A25,:performedBy,:ID04,,
:A25,:performedDuring,:TI_25,,
:TI_25,a,:TimeInterval,,
:TI_25,:hasStartTime,"""1647032671""^^xsd:integer",,"#""2022-03-11T15:04:31Z""^^xsd:dateTimeStamp ;"
:TI_25,:hasStopTime,"""1647038850""^^xsd:integer",,"#""2022-03-11T16:47:30Z""^^xsd:dateTimeStamp ;"
:A28,a,:UsingStaticItem,,
:A28,:occurredAt,:LabStation2,,
:A28,:activityWithin,:Lab1,,
:A28,:usesItemInPlace,:AntistaticMat,,
:A28,:performedBy,:ID03,,
:A28,:performedDuring,:TI_25,,
#ID13 instructor prompts to wear band at 3:05:23,,,,
:A23,a,:InstructorPrompting,,
:A23,:occurredAt,:Podium,,
:A23,:activityWithin,:Lab1,,
:A23,:generatesPrompt,:PutOnWristBand,,
:A23,:performedBy,:ID13,,
:A23,:performedAt,"""1647032723""^^xsd:integer",,"#""2022-03-11T15:05:23Z""^^xsd:dateTimeStamp ."
#ID13 instructor prompts to use mat at 3:05:32,,,,
:A24,a,:InstructorPrompting,,
:A24,:occurredAt,:Podium,,
:A24,:activityWithin,:Lab1,,
:A24,:generatesPrompt,:UseMat,,
:A24,:performedBy,:ID13,,
:A24,:performedAt,"""1647032732""^^xsd:integer",,"#""2022-03-11T15:05:32Z""^^xsd:dateTimeStamp ."
"#Scenario f2 ""Meets expectations"" for ID04: Uses mat before prompt, but wears band only after prompt",,,,
#ID04 wears AntistaticBand4 interval from 3:06:40PM -3:50:00PM,,,,
:A21,a,:UsingCarriedItem,,
:A21,:occurredAt,:LabStation2,,
:A21,:activityWithin,:Lab1,,
:A21,:carriesItem,:AntistaticBand,,
:A21,:performedDuring,:TI_21,,
:A21,:performedBy,:ID04,,
:TI_21,a,:TimeInterval,,
:TI_21,:hasStartTime,"""1647032800""^^xsd:integer",,"#""2022-03-11T15:06:40Z""^^xsd:dateTimeStamp ;"
:TI_21,:hasStopTime,"""1647035400""^^xsd:integer",,"#""2022-03-11T15:50:00Z""^^xsd:dateTimeStamp ."
"#Scenario f3 ""Needs improvement"" for ID09 (Group5): Uses mat after prompt, wears band  after prompt",,,,
"#ID09 wears AntistaticBand9 interval after prompt, from 3:06:40PM -4:48:00PM",,,,
:A22,a,:UsingCarriedItem,,
:A22,:occurredAt,:LabStation2,,
:A22,:activityWithin,:Lab1,,
:A22,:carriesItem,:AntistaticBand,,
:A22,:performedDuring,:TI_22,,
:A22,:performedBy,:ID09,,
:TI_22,a,:TimeInterval,,
:TI_22,:hasStartTime,"""1647032800""^^xsd:integer",,"#""2022-03-11T15:06:40Z""^^xsd:dateTimeStamp ;"
:TI_22,:hasStopTime,"""1647038880""^^xsd:integer",,"#""2022-03-11T16:48:00Z""^^xsd:dateTimeStamp ."
#ID09&ID10 (Group5) uses AntistaticMat5 interval from 3:10:31PM - 4:45:25PM,,,,
:A26,a,:UsingStaticItem,,
:A26,:occurredAt,:LabStation5,,
:A26,:activityWithin,:Lab1,,
:A26,:usesItemInPlace,:AntistaticMat,,
:A26,:performedDuring,:TI_26,,
:A26,:performedBy,:ID09,,
:TI_26,a,:TimeInterval,,
:TI_26,:hasStartTime,"""1647033031""^^xsd:integer",,"#""2022-03-11T15:10:31Z""^^xsd:dateTimeStamp ;"
:TI_26,:hasStopTime,"""1647038725""^^xsd:integer",,"#""2022-03-11T16:45:25Z""^^xsd:dateTimeStamp ;"
:A29,a,:UsingStaticItem,,
:A29,:occurredAt,:LabStation5,,
:A29,:activityWithin,:Lab1,,
:A29,:usesItemInPlace,:AntistaticMat,,
:A29,:performedDuring,:TI_26,,
:A29,:performedBy,:ID10,,
"#Scenario f4 ""Unacceptable"" for ID10 (Group5): No ""using band"" recorded",,,,
#Expected results for scenarios above,,,,
#ID03 exceeds expectations- uses band and mat before prompt,,,,
#ID04 meets expectations - uses mat before prompt but uses band after prompt,,,,
"#ID09 needs improvement; uses band after prompt, uses mat after prompt",,,,
"#ID10 unacceptable; uses mat after prompt, but never uses band",,,,
### SCENARIOS FOR TESTING PI C: DOES NOT INTERRUPT (TEAM) ###,,,,
###Group 4: ID07 and ID08; assigned to LabStation4; ID13 instructor,,,,
###Cases to test: ,,,,
#Scenario c1: ID07 & ID08 talking not interrupting each other,,,,
#ID07 talking,,,,
:A40,a,:Talking,,
:A40,:activityWithin,:Lab1,,
:A40,:occurredAt,:LabStation4,,
:A40,:performedDuring ,:TI_40,,
:A40,:performedBy,:ID07,,
:TI_40,a,:TimeInterval,,
:TI_40,:hasStartTime,"""1647033571""^^xsd:integer",,"#""2022-03-11T15:19:31Z""^^xsd:dateTimeStamp ;"
:TI_40,:hasStopTime,"""1647033585""^^xsd:integer",,"#""2022-03-11T15:19:45Z""^^xsd:dateTimeStamp ;"
#ID08 starts talking; DOES NOT interrupt ID07,,,,
:A41,a,:Talking,,
:A41,:activityWithin,:Lab1,,
:A41,:occurredAt,:LabStation4,,
:A41,:performedDuring,:TI_41,,
:A41,:performedBy,:ID08,,
:TI_41,a,:TimeInterval,,
:TI_41,:hasStartTime,"""1647033587""^^xsd:integer",,"#""2022-03-11T15:19:47Z""^^xsd:dateTimeStamp ;"
:TI_41,:hasStopTime,"""1647033594""^^xsd:integer",,"#""2022-03-11T15:19:54Z""^^xsd:dateTimeStamp ;"
#Scenario c2: ID07 interrupts ID08,,,,
#ID07 starts talking; INTERRUPTS ID08,,,,
:A42,a,:Talking,,
:A42,:activityWithin,:Lab1,,
:A42,:occurredAt,:LabStation4,,
:A42,:performedDuring ,:TI_42,,
:A42,:performedBy,:ID07,,
:TI_42,a,:TimeInterval,,
:TI_42,:hasStartTime,"""1647033591""^^xsd:integer",,"#""2022-03-11T15:19:51Z""^^xsd:dateTimeStamp ;"
:TI_42,:hasStopTime,"""1647033599""^^xsd:integer",,"#""2022-03-11T15:19:59Z""^^xsd:dateTimeStamp ;"
#Scenario c2: ID08 interrupts ID07,,,,
#ID08 starts talking; INTERRUPTS ID07,,,,
:A43,a,:Talking,,
:A43,:activityWithin,:Lab1,,
:A43,:occurredAt,:LabStation4,,
:A43,:performedDuring,:TI_43,,
:A43,:performedBy,:ID08,,
:TI_43,a,:TimeInterval,,
:TI_43,:hasStartTime,"""1647033598""^^xsd:integer",,"#""2022-03-11T15:19:58Z""^^xsd:dateTimeStamp ;"
:TI_43,:hasStopTime,"""1647033602""^^xsd:integer",,"#""2022-03-11T15:20:02Z""^^xsd:dateTimeStamp ;"
#Scenario c2: ID07 interrupts ID08,,,,
#ID07 starts talking; DOES NOT interrupt ID08,,,,
:A44,a, :Talking,,
:A44,:activityWithin,:Lab1,,
:A44,:occurredAt,:LabStation4,,
:A44,:performedDuring,:TI_44,,
:A44,:performedBy,:ID07,,
:TI_44,a,:TimeInterval,,
:TI_44,:hasStartTime,"""1647033604""^^xsd:integer",,"#""2022-03-11T15:20:04Z""^^xsd:dateTimeStamp ;"
:TI_44,:hasStopTime,"""1647033615""^^xsd:integer",,"#""2022-03-11T15:20:15Z""^^xsd:dateTimeStamp ;"
#Scenario c2: ID08 interrupts ID07,,,,
#ID08 starts talking; INTERRUPTS ID07,,,,
:A45,a,:Talking,,
:A45,:activityWithin,:Lab1,,
:A45,:occurredAt,:LabStation4,,
:A45,:performedDuring,:TI_45,,
:A45,:performedBy,:ID08,,
:TI_45,a,:TimeInterval,,
:TI_45,:hasStartTime,"""1647033612""^^xsd:integer",,"#""2022-03-11T15:20:12Z""^^xsd:dateTimeStamp ;"
:TI_45,:hasStopTime,"""1647033620""^^xsd:integer",,"#""2022-03-11T15:20:20Z""^^xsd:dateTimeStamp ;"
#Scenario c2: ID07 interrupts ID08,,,,
#ID07 starts talking; INTERRUPTS ID08,,,,
:A46,a,:Talking,,
:A46,:activityWithin,:Lab1,,
:A46,:occurredAt,:LabStation4,,
:A46,:performedDuring ,:TI_46,,
:A46,:performedBy,:ID07,,
:TI_46,a,:TimeInterval,,
:TI_46,:hasStartTime,"""1647033613""^^xsd:integer",,"#""2022-03-11T15:20:13Z""^^xsd:dateTimeStamp ;"
:TI_46,:hasStopTime,"""1647033619""^^xsd:integer",,"#""2022-03-11T15:20:19Z""^^xsd:dateTimeStamp ;"
#Scenario c1: ID08 does not interrupt ID07,,,,
#ID08 starts talking; DOES NOT interrupt ID07,,,,
:A47,a,:Talking,,
:A47,:activityWithin,:Lab1,,
:A47,:occurredAt,:LabStation4,,
:A47,:performedDuring,:TI_47,,
:A47,:performedBy,:ID08,,
:TI_47,a,:TimeInterval,,
